episode,step,state_mean,state_std,action,intent,reward,done
2,0,-0.003075957763940096,0.7889050245285034,8,hide,0.0,False
2,1,0.029630957171320915,0.1346835196018219,0,idle_wander,0.0,False
2,2,0.03110015019774437,0.1459500640630722,0,idle_wander,0.0,False
2,3,0.056778084486722946,0.9402235150337219,8,hide,0.5,False
2,4,0.029711121693253517,0.13458772003650665,0,idle_wander,0.0,False
2,5,0.03118031844496727,0.1458621770143509,0,idle_wander,0.0,False
2,6,0.05681905150413513,0.9401998519897461,0,idle_wander,0.0,False
2,7,0.02977578714489937,0.13450254499912262,0,idle_wander,0.0,False
2,8,0.03119758889079094,0.14569488167762756,0,idle_wander,0.0,False
2,9,0.056686922907829285,0.9401561617851257,0,idle_wander,0.0,False
2,10,0.029667353257536888,0.13424748182296753,0,idle_wander,0.0,False
2,11,0.03108915500342846,0.14546051621437073,0,idle_wander,0.0,False
2,12,0.05663817375898361,0.9401190280914307,0,idle_wander,0.0,False
2,13,0.02964230440557003,0.13405321538448334,0,idle_wander,0.0,False
2,14,0.0310641061514616,0.14528144896030426,0,idle_wander,0.0,False
2,15,0.0564422681927681,0.9400784969329834,0,idle_wander,0.0,False
2,16,0.029470091685652733,0.1338026225566864,0,idle_wander,0.0,False
2,17,0.030891893431544304,0.14505194127559662,0,idle_wander,0.0,False
2,18,0.056441567838191986,0.9400442838668823,0,idle_wander,0.0,False
2,19,0.029493087902665138,0.13363435864448547,0,idle_wander,0.0,False
2,20,0.03091488964855671,0.1448964774608612,0,idle_wander,0.0,False
2,21,0.056478604674339294,0.9400225281715393,0,idle_wander,0.0,False
2,22,0.02950642816722393,0.13348248600959778,0,idle_wander,0.0,False
2,23,0.03092823177576065,0.14475633203983307,0,idle_wander,0.0,False
2,24,0.05644538253545761,0.9399983286857605,0,idle_wander,0.0,False
2,25,0.02944951504468918,0.13330134749412537,0,idle_wander,0.0,False
2,26,0.0308713149279356,0.14458991587162018,0,idle_wander,0.0,False
2,27,0.05630015954375267,0.9399725794792175,0,idle_wander,0.0,False
2,28,0.029280591756105423,0.13308876752853394,0,idle_wander,0.0,False
2,29,0.030702391639351845,0.14439556002616882,0,idle_wander,0.0,False
2,30,0.05647937208414078,0.9399589896202087,0,idle_wander,0.0,False
2,31,0.029436107724905014,0.13303041458129883,0,idle_wander,0.0,False
2,32,0.030857905745506287,0.14434024691581726,0,idle_wander,0.0,False
2,33,0.056313615292310715,0.9399301409721375,0,idle_wander,0.0,False
2,34,0.029246652498841286,0.13279607892036438,0,idle_wander,0.0,False
2,35,0.030668456107378006,0.14412620663642883,0,idle_wander,0.0,False
2,36,0.05646632984280586,0.9399203062057495,0,idle_wander,0.0,False
2,37,0.029375670477747917,0.13276419043540955,0,idle_wander,0.0,False
2,38,0.03084486536681652,0.14413340389728546,0,idle_wander,0.0,False
2,39,0.056245364248752594,0.9398900270462036,0,idle_wander,0.0,False
