episode,step,cat_id,state_mean,state_std,action_idx,intent,reward,done,next_state_mean,next_state_std
2,67,orange,0.030746,0.136538,0,idle_wander,0.0,False,0.030904,0.136694
2,68,orange,0.032809,0.148987,0,idle_wander,0.0,False,0.032969,0.149142
2,69,orange,0.064837,0.965077,8,hide,0.0,False,0.06479,0.965083
2,70,orange,0.030904,0.136694,0,idle_wander,0.0,False,0.030881,0.136766
2,71,orange,0.032969,0.149142,0,idle_wander,0.0,False,0.032947,0.149223
2,72,orange,0.06479,0.965083,8,hide,0.0,False,0.064708,0.965092
2,73,orange,0.030881,0.136766,0,idle_wander,0.0,False,0.030822,0.136845
2,74,orange,0.032947,0.149223,0,idle_wander,0.0,False,0.03289,0.149311
2,75,orange,0.064708,0.965092,8,hide,0.0,False,0.064805,0.965101
2,76,orange,0.030822,0.136845,0,idle_wander,0.0,False,0.030966,0.136998
2,77,orange,0.03289,0.149311,0,idle_wander,0.0,False,0.033036,0.149464
2,78,orange,0.064805,0.965101,8,hide,0.0,False,0.067048,0.948809
2,79,orange,0.030966,0.136998,0,idle_wander,0.0,False,0.030967,0.137099
2,80,orange,0.033036,0.149464,0,idle_wander,0.0,False,0.033039,0.149572
2,81,orange,0.067048,0.948809,0,idle_wander,0.0,False,0.066972,0.948822
2,82,orange,0.030967,0.137099,0,idle_wander,0.0,False,0.030914,0.137194
2,83,orange,0.033039,0.149572,0,idle_wander,0.0,False,0.032988,0.149674
2,84,orange,0.066972,0.948822,0,idle_wander,0.0,False,0.066992,0.948835
2,85,orange,0.030914,0.137194,0,idle_wander,0.0,False,0.030958,0.137319
2,86,orange,0.032988,0.149674,14,stare_at_window,0.0,False,0.033034,0.149863
2,87,orange,0.066992,0.948835,0,idle_wander,0.0,False,0.06718,0.948856
2,88,orange,0.030958,0.137319,0,idle_wander,0.0,False,0.031122,0.137479
2,89,orange,0.033034,0.149863,0,idle_wander,0.0,False,0.033247,0.150072
2,90,orange,0.06718,0.948856,0,idle_wander,0.0,False,0.066934,0.948859
2,91,orange,0.031122,0.137479,0,idle_wander,0.0,False,0.030948,0.137511
2,92,orange,0.033247,0.150072,0,idle_wander,0.0,False,0.033075,0.150119
2,93,orange,0.066934,0.948859,0,idle_wander,0.0,False,0.067102,0.948877
2,94,orange,0.030948,0.137511,0,idle_wander,0.0,False,0.031139,0.137687
2,95,orange,0.033075,0.150119,0,idle_wander,0.0,False,0.033315,0.150339
2,96,orange,0.067102,0.948877,8,hide,0.5,False,0.077179,0.924505
2,97,orange,0.031139,0.137687,0,idle_wander,0.0,False,0.031021,0.137731
2,98,orange,0.033315,0.150339,0,idle_wander,0.0,False,0.033199,0.150398
2,99,orange,0.077179,0.924505,0,idle_wander,0.0,False,0.07716,0.924522
2,100,orange,0.031021,0.137731,0,idle_wander,0.0,False,0.031025,0.137852
2,101,orange,0.033199,0.150398,14,stare_at_window,0.0,False,0.033205,0.150596
2,102,orange,0.07716,0.924522,0,idle_wander,0.0,False,0.077129,0.924539
2,103,orange,0.031025,0.137852,0,idle_wander,0.0,False,0.031018,0.137972
2,104,orange,0.033205,0.150596,14,stare_at_window,0.0,False,0.0332,0.150806
2,105,orange,0.077129,0.924539,0,idle_wander,0.0,False,0.010386,0.964754
2,106,orange,0.031018,0.137972,0,idle_wander,0.0,False,0.032,0.13975
2,107,orange,0.0332,0.150806,0,idle_wander,0.0,False,0.034231,0.15248
2,108,orange,0.010386,0.964754,0,idle_wander,0.0,False,0.010262,0.964713
