episode,step,cat_id,state_mean,state_std,action_idx,intent,reward,done,next_state_mean,next_state_std
2,0,orange,0.018009,0.114971,8,hide,0.0,False,0.004613,0.536587
2,1,orange,0.022393,0.123062,0,idle_wander,0.0,False,0.02963,0.134899
2,2,orange,0.023104,0.133022,3,eat,0.5,False,0.042894,0.52038
2,3,orange,0.004613,0.536587,8,hide,0.0,False,-0.003121,0.788901
2,4,orange,0.02963,0.134899,0,idle_wander,0.0,False,0.029633,0.134767
2,5,orange,0.042894,0.52038,14,stare_at_window,0.0,False,0.04285,0.520312
2,6,orange,-0.003121,0.788901,8,hide,0.5,False,0.056814,0.940226
2,7,orange,0.029633,0.134767,0,idle_wander,0.0,False,0.029747,0.13461
2,8,orange,0.04285,0.520312,0,idle_wander,0.0,False,0.042964,0.520258
2,9,orange,0.056814,0.940226,0,idle_wander,0.0,False,0.056737,0.940195
2,10,orange,0.029747,0.13461,0,idle_wander,0.0,False,0.029646,0.134361
2,11,orange,0.042964,0.520258,0,idle_wander,0.0,False,0.042863,0.520187
2,12,orange,0.056737,0.940195,0,idle_wander,0.0,False,0.056661,0.940166
2,13,orange,0.029646,0.134361,0,idle_wander,0.0,False,0.029547,0.134131
2,14,orange,0.042863,0.520187,0,idle_wander,0.0,False,0.042764,0.52012
2,15,orange,0.056661,0.940166,0,idle_wander,0.0,False,0.056636,0.94014
2,16,orange,0.029547,0.134131,0,idle_wander,0.0,False,0.029545,0.134009
2,17,orange,0.042764,0.52012,0,idle_wander,0.0,False,0.042762,0.520077
2,18,orange,0.056636,0.94014,0,idle_wander,0.0,False,0.056698,0.940118
2,19,orange,0.029545,0.134009,0,idle_wander,0.0,False,0.029583,0.133847
2,20,orange,0.042762,0.520077,0,idle_wander,0.0,False,0.042847,0.520042
2,21,orange,0.056698,0.940118,0,idle_wander,0.0,False,0.056572,0.940078
2,22,orange,0.029583,0.133847,0,idle_wander,0.0,False,0.029481,0.13363
2,23,orange,0.042847,0.520042,0,idle_wander,0.0,False,0.042793,0.519996
2,24,orange,0.056572,0.940078,0,idle_wander,0.0,False,0.056568,0.940044
2,25,orange,0.029481,0.13363,0,idle_wander,0.0,False,0.029501,0.133479
2,26,orange,0.042793,0.519996,0,idle_wander,0.0,False,0.04286,0.519963
2,27,orange,0.056568,0.940044,0,idle_wander,0.0,False,0.056376,0.940006
2,28,orange,0.029501,0.133479,0,idle_wander,0.0,False,0.02938,0.13332
2,29,orange,0.04286,0.519963,10,curious_inspect,0.0,False,-0.02156,0.764228
2,30,orange,0.056376,0.940006,0,idle_wander,0.0,False,0.056467,0.939986
2,31,orange,0.02938,0.13332,0,idle_wander,0.0,False,0.029495,0.133257
2,32,orange,-0.02156,0.764228,0,idle_wander,0.0,False,-0.021445,0.764218
2,33,orange,0.056467,0.939986,0,idle_wander,0.0,False,0.056314,0.939951
2,34,orange,0.029495,0.133257,0,idle_wander,0.0,False,0.029366,0.133052
2,35,orange,-0.021445,0.764218,0,idle_wander,0.0,False,-0.021288,0.764329
2,36,orange,0.056314,0.939951,7,social_play,0.0,False,0.072797,0.960163
2,37,orange,0.029366,0.133052,0,idle_wander,0.0,False,0.029463,0.132965
2,38,orange,-0.021288,0.764329,0,idle_wander,0.0,False,-0.021141,0.764328
2,39,orange,0.072797,0.960163,0,idle_wander,0.0,False,0.072679,0.960138
2,40,orange,0.029463,0.132965,0,idle_wander,0.0,False,0.029369,0.132779
2,41,orange,-0.021141,0.764328,0,idle_wander,0.0,False,-0.021187,0.764297
2,42,orange,0.072679,0.960138,0,idle_wander,0.0,False,0.072577,0.960116
2,43,orange,0.029369,0.132779,0,idle_wander,0.0,False,0.02929,0.132616
2,44,orange,-0.021187,0.764297,0,idle_wander,0.0,False,-0.021216,0.764271
2,45,orange,0.072577,0.960116,0,idle_wander,0.0,False,0.072531,0.960097
2,46,orange,0.02929,0.132616,0,idle_wander,0.0,False,0.029268,0.132491
2,47,orange,-0.021216,0.764271,0,idle_wander,0.0,False,-0.021189,0.764254
2,48,orange,0.072531,0.960097,0,idle_wander,0.0,False,0.072476,0.96008
2,49,orange,0.029268,0.132491,0,idle_wander,0.0,False,0.029237,0.132371
2,50,orange,-0.021189,0.764254,0,idle_wander,0.0,False,-0.02117,0.764236
2,51,orange,0.072476,0.96008,0,idle_wander,0.0,False,0.073848,0.960548
2,52,orange,0.029237,0.132371,0,idle_wander,0.0,False,0.03068,0.136214
2,53,orange,-0.02117,0.764236,14,stare_at_window,0.0,False,-0.019726,0.765002
2,54,orange,0.073848,0.960548,0,idle_wander,0.0,False,0.073813,0.96055
2,55,orange,0.03068,0.136214,0,idle_wander,0.0,False,0.030669,0.136262
2,56,orange,-0.019726,0.765002,0,idle_wander,0.0,False,-0.019735,0.765006
2,57,orange,0.073813,0.96055,0,idle_wander,0.0,False,0.073736,0.960554
2,58,orange,0.030669,0.136262,0,idle_wander,0.0,False,0.030615,0.136312
2,59,orange,-0.019735,0.765006,14,stare_at_window,0.0,False,-0.019787,0.765007
